category,question,answer,source
상품예약 및 결제,3명이 여행할 때 호텔방은 어떻게 해결하나요?,엑스트라베드 추가,액티벤처:90116
요금 및 견적,여행 예약은 어떻게 진행하나요?,홈페이지에서,액티벤처:90122
요금 및 견적,트리플룸 요금이 2인 1실과 다른가요?,아니요.,액티벤처:90122
요금 및 견적,발리 여행 비용이 880만 원에서 1300만 원 사이야?,응.,액티벤처:90120
상품예약 및 결제,발리 패키지 상품에 원하는 출발일이 있나요?,아니요.,액티벤처:90121
상품예약 및 결제,가루다항공 마일리지가 정립되나요?,아니요.,액티벤처:90123
요금 및 견적,항공권 택스는 변동이 전혀 없나요?,아니요.,액티벤처:90127
요금 및 견적,키즈클럽 프로그램을 운영하는 호텔은 뭐야?,인터컨티넨탈,액티벤처:90120
요금 및 견적,2배드룸 풀빌라는 예약 불가능한가?,아니요.,액티벤처:90119
상품예약 및 결제,발리 여행 중 호텔은 어떻게 예약할 수 있나요?,상담센터 통해 가능,액티벤처:90123
상품예약 및 결제,호텔은 어떻게 예약할 수 있나요?,따로 예약 가능,액티벤처:90121
요금 및 견적,가루다항공 이용이 가능한가?,네.,액티벤처:90124
요금 및 견적,항공권 예약은 어떻게 진행할 수 있어?,전화로 문의,액티벤처:90124
요금 및 견적,항공권은 어떻게 예약할 수 있어?,전화로 예약,액티벤처:90136
요금 및 견적,호텔 3박 이상 예약 시 특별한 혜택이 있나요?,네.,액티벤처:90129
요금 및 견적,자카르타에서 발리로 가는 항공편이 있나요?,네.,액티벤처:90126
요금 및 견적,자카르타에서 발리로 가는 항공편은 어떻게 확인하나요?,전화상담으로 확인,액티벤처:90126
상품예약 및 결제,항공권 좌석은 어떻게 예약할 수 있어?,전화로 예약,액티벤처:90133
상품예약 및 결제,그랜드 미라지 패키지에 포함된 식사의 종류는 무엇인가요?,중식과 석식,액티벤처:90140
상품예약 및 결제,우붓투어는 어떻게 예약하면 좋아?,미리 예약,액티벤처:90130
상품예약 및 결제,현지에서 바로 우붓투어 예약이 가능해?,아니.,액티벤처:90130
상품예약 및 결제,가루다 항공 직항 노선 예약이 가능해?,응.,액티벤처:90133
"일반문의(여행준비, 인터넷, 교통, 안전 등)",액티비티는 선택할 수 있나요?,네.,액티벤처:90131
상품예약 및 결제,잔금은 어떻게 입금하면 되나?,발권일 3일 전,액티벤처:90132
상품예약 및 결제,특가 항공권은 리컨펌이 필요한가?,아니요.,액티벤처:90132
상품예약 및 결제,다른 항공사로 비슷한 일정 예약이 가능한가요?,네.,액티벤처:90137
요금 및 견적,르메르디앙 리조트는 가족 여행이나 골프에 적합한 곳인가요?,네.,액티벤처:90141
요금 및 견적,물리아 리조트의 특전은 무엇을 제공하나요?,"디너, 조식, 버틀러 서비스",액티벤처:90139
요금 및 견적,추가 인원에 대한 요금은 어떻게 계산되나요?,방당 성인 2명 기준,액티벤처:90141
요금 및 견적,발리 패키지는 어떻게 예약할 수 있나요?,상담 통해 예약,액티벤처:90138
요금 및 견적,물리아 패밀리빌라 가든뷰 예약은 어떻게 진행하나요?,이메일로 정보 전송,액티벤처:90155
요금 및 견적,물리아 리조트에서 아이 두 명 입실이 가능한가요?,네.,액티벤처:90139
요금 및 견적,주중 출발이 여행 비용에 유리한가요?,네.,액티벤처:90143
요금 및 견적,하얏트에서 1박 예약이 가능한가요?,아니요.,액티벤처:90150
요금 및 견적,인도네시아 항공만 발리 패키지를 운영하나요?,아니요.,액티벤처:90138
요금 및 견적,발리 여행 패키지는 어떻게 예약할 수 있나요?,항공과 숙소 별도 예약,액티벤처:90143
상품예약 및 결제,발리 여행 숙소는 어떻게 예약할 수 있어?,에어텔로 가능,액티벤처:90146
상품예약 및 결제,그랜드 미라지 패키지에 조식이 포함되어 있나요?,아니요.,액티벤처:90140
상품예약 및 결제,현재 가루다 항공 좌석이 예약 가능한가요?,아니요.,액티벤처:90144
상품예약 및 결제,그랜드 미라지 패키지는 어떻게 예약할 수 있나요?,온라인 또는 전화로,액티벤처:90140
상품예약 및 결제,신혼여행 경유지 항공편은 어떻게 확인할 수 있나?,항공 담당자 문의,액티벤처:90145
요금 및 견적,하얏트 호텔은 몇 박부터 예약할 수 있나요?,2박부터,액티벤처:90150
요금 및 견적,2박 예약 시 공항픽업 서비스를 받을 수 있나요?,아니요.,액티벤처:90158
상품예약 및 결제,개인 항공권은 어떻게 예약할 수 있나요?,미리 예약,액티벤처:90148
상품예약 및 결제,발리에서 도쿄로 가는 JAL 항공편은 있나요?,네.,액티벤처:90145
요금 및 견적,3박 이상 예약 시 공항 픽업 서비스가 무료로 제공되나?,네.,액티벤처:90149
상품예약 및 결제,현재 내년 항공 요금이 확정되었나요?,아니요.,액티벤처:90148
요금 및 견적,더물리아 호텔 패키지 가격은 어떻게 구성되나요?,객실 타입별 차등,액티벤처:90153
요금 및 견적,물리아 리조트에서 4+1 프로모션이 가능한가요?,네.,액티벤처:90147
요금 및 견적,호텔 예약 정보는 어떻게 받을 수 있나요?,이메일로,액티벤처:90151
요금 및 견적,아야나 리조트의 특별 혜택은 어떻게 제공되나요?,탈라소테라피 풀 1시간,액티벤처:90175
요금 및 견적,예약 대표자로 정보를 보내야 하는 사람은 누구인가요?,대표자,액티벤처:90155
요금 및 견적,더물리아 호텔에 3박 이상 예약하면 공항 픽업 서비스를 받을 수 있나요?,네.,액티벤처:90153
상품예약 및 결제,레이트 체크아웃이 가능한가요?,아니요.,액티벤처:90152
요금 및 견적,모든 날짜에 만다파 리츠칼튼 예약이 가능한가?,아니요.,액티벤처:90154
요금 및 견적,프로모션이 적용되는 객실은 무엇인가요?,아야나 리조트 오션뷰룸,액티벤처:90162
상품예약 및 결제,림바 짐바란 바이 아야나에서 1박 예약이 가능한가요?,아니요.,액티벤처:90189
요금 및 견적,호텔 예약은 어떻게 진행해야 하나요?,이메일로 정보 전송,액티벤처:90159
요금 및 견적,3박 이상 예약 시 특별한 혜택이 있나요?,네.,액티벤처:90161
요금 및 견적,호텔에서 무료 공항 픽업 서비스를 제공받을 수 있는 사람은 누구인가요?,3박 이상 예약자,액티벤처:90163
요금 및 견적,공항 픽업 비용은 얼마야?,총 50달러,액티벤처:90156
요금 및 견적,패키지에 유료 미니바가 포함되어 있나요?,아니요.,액티벤처:90157
상품예약 및 결제,3박 이상 예약하면 공항 픽업 서비스를 제공하나?,네.,액티벤처:90166
요금 및 견적,3박 이상 예약 시 무료 공항 픽업이 제공되나요?,네.,액티벤처:90155
요금 및 견적,더물리아 리조트의 조식은 어떻게 제공되나요?,뷔페 또는 알라카르트,액티벤처:90158
요금 및 견적,디럭스 샬레 예약 시 레이트 체크아웃 혜택을 받을 수 있나요?,네.,액티벤처:90164
요금 및 견적,정글 풀빌라 타입을 예약할 수 있나요?,아니요.,액티벤처:90165
요금 및 견적,아야나 세가라 호텔의 3박 기준 객실 요금은 어떻게 되나요?,305~325달러,액티벤처:90163
요금 및 견적,만다파 스윗 예약 시 아동 조식은 어떻게 추가할 수 있나요?,"조식만 $15, 소파베드 포함 $55",액티벤처:90161
상품예약 및 결제,객실 예약은 어떻게 진행할 수 있나요?,이메일로 신청,액티벤처:90167
요금 및 견적,호텔 예약 시 특전이 있나요?,네.,액티벤처:90159
요금 및 견적,아야나 세가라 호텔 예약 시 조식이 포함되어 있나요?,네.,액티벤처:90163
요금 및 견적,3박 이상 예약 시 어떤 혜택을 받을 수 있나요?,공항픽업 무료,액티벤처:90165
요금 및 견적,공항 픽업이 무료인가?,아니요.,액티벤처:90156
요금 및 견적,신혼여행 숙소는 어떻게 예약하려고 해?,여행사 패키지,액티벤처:90168
요금 및 견적,신혼여행 항공편을 예약한 사람은 누구야?,신랑,액티벤처:90168
요금 및 견적,조식이 숙박료에 포함되어 있나요?,아니요.,액티벤처:90171
요금 및 견적,예약 취소나 환불이 가능해?,아니.,액티벤처:90164
상품예약 및 결제,모든 객실 요금에 조식이 포함되어 있나요?,네.,액티벤처:90167
요금 및 견적,세가라 오션뷰룸도 프로모션 요금이 적용되나요?,아니요.,액티벤처:90162
요금 및 견적,호텔에서 무료로 제공하는 특전은 무엇인가?,"탈라소테라피 풀, 맥주 또는 음료",액티벤처:90172
